SID,Last_successful,Error,Prompt,After_prompt,IHC_single,IHC_double,FHC_single,FHC_double,Special_count,Note,hundred-syntax,Exclude,Exclude_reason,Validated,raw-count
070518-SWH-59,109,200,110,IDK,100,100,109,109,,,,0,,RMS,
070518-SWH-60,110,NA,110,111,110,110,140,140,,,read out digits for 101 (1 zero 1),0,,RMS,"1-59, 70, 71, [wca 59] 60-100, 101-110 (but digit reading form, 1-0-1) [wca 110] [111] 112-119, [wca 119] ""3, 3..."" [120] 121-129, 252? [130], 131-139 [100... rising] audio cut off"
070518-SWH-60,119,NA,120,121,110,110,140,140,,,,0,,RMS,
070518-SWH-60,129,"IDK, 252?",130,131,110,110,140,140,,,,0,,RMS,
070518-SWH-62,68,70,69,70,68,68,111,111,,,,0,,RMS,"1-49, 60, 61, 62, [wca 49], 50-68, 70, 71, 72 [wca 68], 7, [69], 70-98, 100, [wca 98], 99, 100, [101], 102-109 [110], 111, 122, 133, 144, [111], 122, [112], 133, [112], 133, 144"
070518-SWH-62,100,NA,101,102,68,68,111,111,,,,0,,RMS,
070518-SWH-62,109,NA,110,111,68,68,111,111,,,,0,,RMS,
070518-SWH-62,111,122,112,133,68,68,111,111,,,,0,,RMS,
070918-SWH-01,39,IDK,40,41,39,39,109,109,,,dropped 0 for 101 (1 bak 1),0,,RMS,"1-39 [40] 41-49 [50] 51-59 [60] 61-69 [70] 71-76, 78, 79 [wca 76] [77] 78-79 [80] 81-89 [90] 91-99 [100] 101-109 (but say 1 bak 1 - 1 bak 9) [110] 1 bak 2, 1 bak 3, 1 bak 4"
070918-SWH-01,49,IDK,50,51,39,39,109,109,,,,0,,RMS,
